scientific_name,common_name,family,combined_red_list,combined_span_min,combined_span_max,estimated_dry_mass,months_to_adult
Triodia sylvina,Orange Swift,Hepialidae,LC,12.0,26.0,53.7,10
Korscheltellus lupulina,Common Swift,Hepialidae,LC,11.0,20.0,28.8,12
Korscheltellus fusconebulosa,Map-winged Swift,Hepialidae,LC,14.0,26.0,62.8,12
Phymatopus hecta,Gold Swift,Hepialidae,LC,12.0,16.0,21.1,12
Hepialus humuli,Ghost Moth,Hepialidae,LC,21.0,35.0,175.5,12
Cossus cossus,Goat Moth,Cossidae,LC,32.0,42.0,411.4,12
Zeuzera pyrina,Leopard Moth,Cossidae,LC,22.0,35.0,185.3,13
Phragmataecia castaneae,Reed Leopard,Cossidae,NT,15.0,23.0,53.7,12
Pennisetia hylaeiformis,Raspberry Clearwing,Sesiidae,LC,11.0,13.0,13.2,12
Sesia apiformis,Hornet Moth,Sesiidae,RE,17.0,21.0,53.7,12
Sesia bembeciformis,Lunar Hornet Moth,Sesiidae,LC,15.0,19.0,38.2,13
Paranthrene tabaniformis,Dusky Clearwing,Sesiidae,RE,13.0,14.0,18.9,0
Synanthedon scoliaeformis,Welsh Clearwing,Sesiidae,VU,12.0,15.0,18.9,12
Synanthedon spheciformis,White-barred Clearwing,Sesiidae,LC,12.0,14.0,16.8,12
Synanthedon culiciformis,Large Red-belted Clearwing,Sesiidae,LC,12.0,14.0,16.8,11
Synanthedon formicaeformis,Red-tipped Clearwing,Sesiidae,LC,9.0,11.0,7.5,12
Synanthedon flaviventris,Sallow Clearwing,Sesiidae,LC,8.0,9.0,4.6,12
Synanthedon andrenaeformis,Orange-tailed Clearwing,Sesiidae,LC,9.0,11.0,7.5,12
Synanthedon myopaeformis,Red-belted Clearwing,Sesiidae,LC,9.0,11.0,7.5,10
Synanthedon vespiformis,Yellow-legged Clearwing,Sesiidae,LC,10.0,12.0,10.1,11
Synanthedon tipuliformis,Currant Clearwing,Sesiidae,LC,8.0,10.0,5.5,10
Bembecia ichneumoniformis,Six-belted Clearwing,Sesiidae,LC,9.0,12.0,8.8,12
Pyropteron chrysidiformis,Fiery Clearwing,Sesiidae,EN,9.0,12.0,8.8,10
Pyropteron muscaeformis,Thrift Clearwing,Sesiidae,CR,6.0,8.0,2.5,10
Apoda limacodes,Festoon,Limacodidae,LC,10.0,13.0,11.6,3
Heterogenea asella,Triangle,Limacodidae,LC,5.0,11.0,3.8,4
Jordanita globulariae,Scarce Forester,Zygaenidae,NT,10.0,15.0,14.9,11
Adscita statices,Forester,Zygaenidae,EN,11.0,15.0,16.8,11
Adscita geryon,Cistus Forester,Zygaenidae,LC,9.0,12.0,8.8,11
Zygaena purpuralis,Transparent Burnet,Zygaenidae,LC,14.0,16.0,26.1,11
Zygaena loti,Slender Scotch Burnet,Zygaenidae,EN,14.0,16.0,26.1,11
Zygaena exulans,Scotch Burnet or Mountain Burnet,Zygaenidae,NT,10.0,16.0,16.8,12
Zygaena viciae,New Forest Burnet,Zygaenidae,CR,12.0,14.0,16.8,12
Zygaena filipendulae,Six-spot Burnet,Zygaenidae,LC,15.0,19.0,38.2,12
Zygaena lonicerae,Narrow-bordered Five-spot Burnet,Zygaenidae,VU,15.0,19.0,38.2,12
Zygaena trifolii,Five-spot Burnet,Zygaenidae,LC,14.0,19.0,34.9,12
Papilio machaon,Swallowtail,Papilionidae,NT,76.0,93.0,,2
Erynnis tages,Dingy Skipper,Hesperiidae,VU,27.0,34.0,,12
Pyrgus malvae,Grizzled Skipper,Hesperiidae,VU,23.0,29.0,,5
Carterocephalus palaemon,Chequered Skipper,Hesperiidae,EN,29.0,31.0,,9
Thymelicus lineola,Essex Skipper,Hesperiidae,LC,26.0,30.0,,4
Thymelicus sylvestris,Small Skipper,Hesperiidae,LC,27.0,34.0,,10
Thymelicus acteon,Lulworth Skipper,Hesperiidae,NT,24.0,28.0,,10
Hesperia comma,Silver-spotted Skipper,Hesperiidae,NT,29.0,37.0,,5
Ochlodes sylvanus,Large Skipper,Hesperiidae,LC,29.0,36.0,,12
Leptidea sinapis,Wood White,Pieridae,EN,42.0,42.0,,4
Leptidea juvernica,Cryptic Wood White,Pieridae,LC,42.0,42.0,,2
Anthocharis cardamines,Orange-tip,Pieridae,LC,40.0,53.0,,3
Aporia crataegi,Black-veined White,Pieridae,LC,,,,0
Pieris brassicae,Large White,Pieridae,LC,58.0,63.0,,10
Pieris rapae,Small White,Pieridae,LC,38.0,57.0,,8
Pieris napi,Green-veined White,Pieridae,LC,40.0,52.0,,8
Pontia daplidice,Bath White,Pieridae,LC,,,,0
Colias crocea,Clouded Yellow,Pieridae,LC,52.0,62.0,,6
Colias hyale,Pale Clouded Yellow,Pieridae,LC,,,,0
Colias alfacariensis,Berger's Clouded Yellow,Pieridae,LC,,,,0
Gonepteryx rhamni,Brimstone,Pieridae,LC,60.0,74.0,,3
Danaus plexippus,Monarch or Milkweed,Nymphalidae,LC,,,,0
Lasiommata megera,Wall,Nymphalidae,EN,45.0,53.0,,12
Pararge aegeria,Speckled Wood,Nymphalidae,LC,46.0,52.0,,13
Coenonympha tullia,Large Heath,Nymphalidae,VU,35.0,40.0,,11
Coenonympha pamphilus,Small Heath,Nymphalidae,NT,29.0,33.0,,12
Erebia epiphron,Mountain Ringlet,Nymphalidae,RE,28.0,38.0,,11
Erebia aethiops,Scotch Argus,Nymphalidae,LC,39.0,52.0,,12
Aphantopus hyperantus,Ringlet,Nymphalidae,LC,42.0,52.0,,12
Maniola jurtina,Meadow Brown,Nymphalidae,LC,49.0,56.0,,13
Pyronia tithonus,Gatekeeper,Nymphalidae,NT,37.0,43.0,,12
Melanargia galathea,Marbled White,Nymphalidae,LC,53.0,58.0,,12
Hipparchia semele,Grayling,Nymphalidae,VU,48.0,62.0,,10
Boloria euphrosyne,Pearl-bordered Fritillary,Nymphalidae,EN,38.0,47.0,,11
Boloria selene,Small Pearl-bordered Fritillary,Nymphalidae,NT,35.0,44.0,,11
Issoria lathonia,Queen of Spain Fritillary,Nymphalidae,LC,,,,0
Argynnis paphia,Silver-washed Fritillary,Nymphalidae,LC,69.0,80.0,,11
Speyeria aglaja,Dark Green Fritillary,Nymphalidae,VU,64.0,70.0,,11
Fabriciana adippe,High Brown Fritillary,Nymphalidae,CR,55.0,69.0,,3
Limenitis camilla,White Admiral,Nymphalidae,VU,56.0,66.0,,11
Apatura iris,Purple Emperor,Nymphalidae,NT,70.0,78.0,,12
Vanessa atalanta,Red Admiral,Nymphalidae,LC,64.0,78.0,,8
Vanessa cardui,Painted Lady,Nymphalidae,LC,58.0,74.0,,7
Aglais io,Peacock,Nymphalidae,LC,63.0,75.0,,3
Aglais urticae,Small Tortoiseshell,Nymphalidae,LC,45.0,62.0,,5
Nymphalis antiopa,Camberwell Beauty,Nymphalidae,LC,,,,0
Nymphalis polychloros,Large Tortoiseshell,Nymphalidae,RE,,,,0
Nymphalis xanthomelas,Scarce Tortoiseshell,Nymphalidae,LC,,,,0
Polygonia c-album,Comma,Nymphalidae,LC,50.0,64.0,,6
Euphydryas aurinia,Marsh Fritillary,Nymphalidae,VU,30.0,50.0,,10
Melitaea cinxia,Glanville Fritillary,Nymphalidae,EN,38.0,52.0,,12
Melitaea athalia,Heath Fritillary,Nymphalidae,EN,39.0,47.0,,12
Hamearis lucina,Duke of Burgundy,Riodinidae,EN,29.0,34.0,,3
Lycaena phlaeas,Small Copper,Lycaenidae,LC,26.0,40.0,,13
Lycaena dispar,Large Copper,Lycaenidae,RE,,,,0
Thecla betulae,Brown Hairstreak,Lycaenidae,VU,36.0,45.0,,4
Favonius quercus,Purple Hairstreak,Lycaenidae,LC,31.0,40.0,,4
Callophrys rubi,Green Hairstreak,Lycaenidae,LC,27.0,34.0,,4
Satyrium w-album,White-letter Hairstreak,Lycaenidae,EN,25.0,36.0,,5
Satyrium pruni,Black Hairstreak,Lycaenidae,EN,34.0,40.0,,5
Lampides boeticus,Long-tailed Blue,Lycaenidae,LC,,,,2
Leptotes pirithous,Lang's Short-tailed Blue,Lycaenidae,LC,,,,0
Cupido minimus,Small Blue,Lycaenidae,EN,18.0,27.0,,11
Cupido argiades,Short-tailed Blue,Lycaenidae,LC,,,,0
Celastrina argiolus,Holly Blue,Lycaenidae,LC,26.0,34.0,,6
Phengaris arion,Large Blue,Lycaenidae,CR,42.0,52.0,,11
Plebejus argus,Silver-studded Blue,Lycaenidae,VU,25.0,32.0,,5
Aricia agestis,Brown Argus,Lycaenidae,LC,25.0,31.0,,11
Aricia artaxerxes,Northern Brown Argus,Lycaenidae,VU,25.0,31.0,,12
Cyaniris semiargus,Mazarine Blue,Lycaenidae,RE,,,,0
Polyommatus icarus,Common Blue,Lycaenidae,LC,29.0,36.0,,13
Lysandra bellargus,Adonis Blue,Lycaenidae,NT,30.0,40.0,,10
Lysandra coridon,Chalk Hill Blue,Lycaenidae,NT,33.0,40.0,,4
Falcaria lacertinaria,Scalloped Hook-tip,Drepanidae,LC,14.0,18.0,31.7,5
Watsonalla binaria,Oak Hook-tip,Drepanidae,VU,13.0,18.0,28.8,5
Watsonalla cultraria,Barred Hook-tip,Drepanidae,LC,12.0,17.0,23.5,5
Drepana curvatula,Dusky Hook-tip,Drepanidae,LC,16.0,21.0,49.5,0
Drepana falcataria,Pebble Hook-tip,Drepanidae,LC,17.0,21.0,53.7,3
Sabra harpagula,Scarce Hook-tip,Drepanidae,NT,17.0,20.0,49.5,3
Cilix glaucata,Chinese Character,Drepanidae,LC,10.0,13.0,11.6,6
Thyatira batis,Peach Blossom,Drepanidae,LC,16.0,19.0,41.7,3
Habrosyne pyritoides,Buff Arches,Drepanidae,LC,17.0,20.0,49.5,5
Tethea ocularis,Figure of Eighty,Drepanidae,LC,16.0,20.0,45.5,3
Tethea or,Poplar Lutestring,Drepanidae,NT,16.0,19.0,41.7,5
Tetheella fluctuosa,Satin Lutestring,Drepanidae,LC,17.0,21.0,53.7,5
Ochropacha duplaris,Common Lutestring,Drepanidae,LC,14.0,18.0,31.7,5
Cymatophorina diluta,Oak Lutestring,Drepanidae,EN,15.0,17.0,31.7,3
Polyploca ridens,Frosted Green,Drepanidae,NT,15.0,17.0,31.7,3
Achlya flavicornis,Yellow Horned,Drepanidae,LC,17.0,20.0,49.5,3
Poecilocampa populi,December Moth,Lasiocampidae,LC,15.0,22.0,49.5,3
Trichiura crataegi,Pale Eggar,Lasiocampidae,VU,14.0,17.0,28.8,3
Malacosoma neustria,Lackey,Lasiocampidae,VU,13.0,21.0,38.2,4
Malacosoma castrensis,Ground Lackey,Lasiocampidae,LC,13.0,21.0,38.2,4
Eriogaster lanestris,Small Eggar,Lasiocampidae,NT,15.0,21.0,45.5,4
Lasiocampa trifolii,Grass Eggar,Lasiocampidae,LC,21.0,30.0,131.9,5
Lasiocampa quercus,Oak Eggar / Northern Eggar,Lasiocampidae,LC,25.0,40.0,276.8,13
Macrothylacia rubi,Fox Moth,Lasiocampidae,LC,22.0,31.0,148.3,11
Dendrolimus pini,Pine-tree Lappet,Lasiocampidae,NT,29.0,42.0,362.5,12
Euthrix potatoria,Drinker,Lasiocampidae,LC,21.0,35.0,175.5,12
Phyllodesma ilicifolia,Small Lappet,Lasiocampidae,RE,18.0,20.0,53.7,0
Gastropacha quercifolia,Lappet,Lasiocampidae,EN,28.0,42.0,347.1,11
Endromis versicolora,Kentish Glory,Endromidae,NT,27.0,39.0,290.0,4
Saturnia pavonia,Emperor Moth,Saturniidae,LC,27.0,41.0,317.7,4
Mimas tiliae,Lime Hawk-moth,Sphingidae,LC,23.0,39.0,239.6,4
Smerinthus ocellata,Eyed Hawk-moth,Sphingidae,LC,36.0,44.0,522.0,5
Laothoe populi,Poplar Hawk-moth,Sphingidae,LC,30.0,46.0,446.3,5
Agrius convolvuli,Convolvulus Hawk-moth,Sphingidae,NE,50.0,55.0,1198.5,5
Acherontia atropos,Death's-head Hawk-moth,Sphingidae,NE,52.0,60.0,1459.8,4
Sphinx ligustri,Privet Hawk-moth,Sphingidae,LC,41.0,55.0,911.4,3
Sphinx pinastri,Pine Hawk-moth,Sphingidae,LC,35.0,41.0,446.3,5
Hemaris tityus,Narrow-bordered Bee Hawk-moth,Sphingidae,LC,18.0,21.0,58.1,4
Hemaris fuciformis,Broad-bordered Bee Hawk-moth,Sphingidae,LC,20.0,24.0,84.0,3
Macroglossum stellatarum,Humming-bird Hawk-moth,Sphingidae,LC,20.0,24.0,84.0,5
Daphnis nerii,Oleander Hawk-moth,Sphingidae,NE,48.0,51.0,1001.2,0
Proserpinus proserpina,Willowherb Hawk-moth,Sphingidae,LC,18.0,21.0,58.1,0
Hyles euphorbiae,Spurge Hawk-moth,Sphingidae,LC,28.0,31.0,205.9,2
Hyles gallii,Bedstraw Hawk-moth,Sphingidae,VU,34.0,38.0,378.3,3
Hyles livornica,Striped Hawk-moth,Sphingidae,NE,33.0,42.0,428.6,5
Deilephila elpenor,Elephant Hawk-moth,Sphingidae,LC,28.0,33.0,227.9,4
Deilephila porcellus,Small Elephant Hawk-moth,Sphingidae,LC,21.0,25.0,96.2,4
Hippotion celerio,Silver-striped Hawk-moth,Sphingidae,NE,33.0,35.0,317.7,1
Idaea serpentata,Ochraceous Wave,Geometridae,LC,10.0,11.0,3.9,0
Idaea muricata,Purple-bordered Gold,Geometridae,EN,8.0,10.0,2.6,11
Idaea ochrata,Bright Wave,Geometridae,NT,10.0,12.0,4.4,11
Idaea rusticata,Least Carpet,Geometridae,LC,9.0,11.0,3.4,13
Idaea dilutaria,Silky Wave,Geometridae,NT,8.0,10.0,2.6,10
Idaea fuscovenosa,Dwarf Cream Wave,Geometridae,LC,9.0,11.0,3.4,10
Idaea humiliata,Isle of Wight Wave,Geometridae,RE,9.0,10.0,3.0,0
Idaea seriata,Small Dusty Wave,Geometridae,LC,9.0,11.0,3.4,11
Idaea subsericeata,Satin Wave,Geometridae,LC,10.0,12.0,4.4,10
Idaea sylvestraria,Dotted Border Wave,Geometridae,LC,10.0,11.0,3.9,11
Idaea dimidiata,Single-dotted Wave,Geometridae,LC,9.0,11.0,3.4,11
Idaea trigeminata,Treble Brown Spot,Geometridae,LC,10.0,11.0,3.9,10
Idaea biselata,Small Fan-footed Wave,Geometridae,LC,10.0,11.0,3.9,11
Idaea contiguaria,Weaver's Wave,Geometridae,NT,9.0,11.0,3.4,10
Idaea emarginata,Small Scallop,Geometridae,LC,11.0,13.0,5.5,11
Idaea aversata,Riband Wave,Geometridae,LC,14.0,16.0,9.7,12
Idaea degeneraria,Portland Ribbon Wave,Geometridae,LC,13.0,15.0,8.1,11
Idaea straminata,Plain Wave,Geometridae,LC,13.0,15.0,8.1,10
Scopula immorata,Lewes Wave,Geometridae,RE,11.0,14.0,6.1,0
Scopula nigropunctata,Sub-angled Wave,Geometridae,EN,14.0,16.0,9.7,10
Scopula ornata,Lace Border,Geometridae,LC,12.0,13.0,6.1,11
Scopula rubiginata,Tawny Wave,Geometridae,LC,9.0,11.0,3.4,11
Scopula marginepunctata,Mullein Wave,Geometridae,LC,12.0,15.0,7.4,10
Scopula imitaria,Small Blood-vein,Geometridae,LC,13.0,15.0,8.1,11
Scopula immutata,Lesser Cream Wave,Geometridae,LC,12.0,13.0,6.1,11
Scopula ternata,Smoky Wave,Geometridae,VU,12.0,15.0,7.4,10
Scopula floslactata,Cream Wave,Geometridae,LC,13.0,16.0,8.9,10
Scopula emutaria,Rosy Wave,Geometridae,LC,11.0,13.0,5.5,10
Timandra comae,Blood-Vein,Geometridae,LC,15.0,18.0,12.4,9
Cyclophora pendularia,Dingy Mocha,Geometridae,NT,12.0,14.0,6.7,5
Cyclophora annularia,Mocha,Geometridae,LC,11.0,14.0,6.1,5
Cyclophora albipunctata,Birch Mocha,Geometridae,LC,12.0,14.0,6.7,6
Cyclophora puppillaria,Blair's Mocha,Geometridae,LC,12.0,15.0,7.4,0
Cyclophora ruficiliaria,Jersey Mocha,Geometridae,LC,12.0,16.0,8.1,0
Cyclophora porata,False Mocha,Geometridae,LC,12.0,14.0,6.7,2
Cyclophora punctaria,Maiden's Blush,Geometridae,EN,13.0,16.0,8.9,4
Cyclophora linearia,Clay Triple-lines,Geometridae,LC,14.0,16.0,9.7,3
Rhodometra sacraria,Vestal,Geometridae,NE,12.0,14.0,6.7,0
Phibalapteryx virgata,Oblique Striped,Geometridae,LC,10.0,12.0,4.4,4
Scotopteryx mucronata,Lead Belle,Geometridae,VU,15.0,19.0,13.4,9
Scotopteryx luridata,July Belle,Geometridae,LC,15.0,19.0,13.4,10
Scotopteryx peribolata,Spanish Carpet,Geometridae,LC,13.0,15.0,8.1,9
Scotopteryx bipunctaria,Chalk Carpet,Geometridae,LC,15.0,18.0,12.4,11
Scotopteryx moeniata,Fortified Carpet,Geometridae,LC,17.0,22.0,19.0,1
Scotopteryx chenopodiata,Shaded Broad-bar,Geometridae,LC,16.0,19.0,14.4,12
Orthonama vittata,Oblique Carpet,Geometridae,LC,11.0,14.0,6.1,12
Nycterosea obstipata,Gem,Geometridae,NE,12.0,14.0,6.7,0
Xanthorhoe decoloraria,Red Carpet,Geometridae,EN,12.0,15.0,7.4,11
Xanthorhoe fluctuata,Garden Carpet,Geometridae,LC,13.0,16.0,8.9,9
Xanthorhoe biriviata,Balsam Carpet,Geometridae,LC,12.0,14.0,6.7,1
Xanthorhoe spadicearia,Red Twin-spot Carpet,Geometridae,LC,12.0,13.0,6.1,5
Xanthorhoe ferrugata,Dark-barred Twin-spot Carpet,Geometridae,NT,12.0,13.0,6.1,5
Xanthorhoe designata,Flame Carpet,Geometridae,LC,11.0,14.0,6.1,5
Xanthorhoe montanata,Silver-ground Carpet,Geometridae,LC,14.0,17.0,10.6,11
Xanthorhoe quadrifasiata,Large Twin-spot Carpet,Geometridae,LC,14.0,16.0,9.7,10
Catarhoe cuculata,Royal Mantle,Geometridae,VU,12.0,14.0,6.7,3
Catarhoe rubidata,Ruddy Carpet,Geometridae,LC,13.0,15.0,8.1,2
Costaconvexa polygrammata,Many-lined,Geometridae,RE,11.0,12.0,4.9,0
Camptogramma bilineata,Yellow Shell,Geometridae,NT,13.0,16.0,8.9,11
Epirrhoe tristata,Small Argent and Sable,Geometridae,VU,11.0,13.0,5.5,3
Epirrhoe alternata,Common Carpet,Geometridae,LC,13.0,14.0,7.4,5
Epirrhoe rivata,Wood Carpet,Geometridae,LC,14.0,16.0,9.7,4
Epirrhoe galiata,Galium Carpet,Geometridae,LC,13.0,15.0,8.1,4
Euphyia biangulata,Cloaked Carpet,Geometridae,LC,14.0,17.0,10.6,3
Euphyia unangulata,Sharp-angled Carpet,Geometridae,LC,13.0,15.0,8.1,4
Earophila badiata,Shoulder Stripe,Geometridae,LC,14.0,18.0,11.5,4
Anticlea derivata,Streamer,Geometridae,LC,14.0,16.0,9.7,3
Mesoleuca albicillata,Beautiful Carpet,Geometridae,LC,15.0,18.0,12.4,3
Pelurga comitata,Dark Spinach,Geometridae,VU,16.0,18.0,13.4,3
Larentia clavaria,Mallow,Geometridae,CR,19.0,22.0,21.6,4
Entephria flavicinctata,Yellow-ringed Carpet,Geometridae,CR,17.0,18.0,14.4,12
Entephria caesiata,Grey Mountain Carpet,Geometridae,NT,16.0,19.0,14.4,13
Spargania luctuata,White-banded Carpet,Geometridae,LC,14.0,15.0,8.9,3
Hydriomena furcata,July Highflier,Geometridae,LC,14.0,18.0,11.5,3
Hydriomena impluviata,May Highflier,Geometridae,LC,13.0,16.0,8.9,5
Hydriomena ruberata,Ruddy Highflier,Geometridae,LC,14.0,17.0,10.6,3
Pennithera firmata,Pine Carpet,Geometridae,LC,13.0,16.0,8.9,10
Thera cognata,Chestnut-coloured Carpet,Geometridae,LC,11.0,14.0,6.1,11
Thera britannica,Spruce Carpet,Geometridae,LC,13.0,17.0,9.7,9
Thera vetustata,Fir Carpet,Geometridae,LC,12.0,14.0,6.7,0
Thera obeliscata,Grey Pine Carpet,Geometridae,LC,13.0,17.0,9.7,12
Thera juniperata,Juniper Carpet,Geometridae,LC,11.0,14.0,6.1,3
Thera cupressata,Cypress Carpet,Geometridae,LC,12.0,15.0,7.4,10
Plemyria rubiginata,Blue-bordered Carpet,Geometridae,LC,12.0,15.0,7.4,3
Cidaria fulvata,Barred Yellow,Geometridae,LC,12.0,14.0,6.7,3
Electrophaes corylata,Broken-barred Carpet,Geometridae,LC,14.0,16.0,9.7,4
Cosmorhoe ocellata,Purple Bar,Geometridae,LC,13.0,15.0,8.1,11
Eustroma reticulata,Netted Carpet,Geometridae,EN,13.0,14.0,7.4,4
Eulithis prunata,Phoenix,Geometridae,LC,17.0,19.0,15.5,4
Eulithis testata,Chevron,Geometridae,LC,13.0,19.0,11.5,3
Eulithis populata,Northern Spinach,Geometridae,LC,13.0,18.0,10.6,4
Eulithis mellinata,Spinach,Geometridae,VU,16.0,18.0,13.4,2
Gandaritis pyraliata,Barred Straw,Geometridae,LC,15.0,18.0,12.4,3
Ecliptopera silaceata,Small Phoenix,Geometridae,LC,13.0,17.0,9.7,8
Chloroclysta siterata,Red-Green Carpet,Geometridae,LC,14.0,17.0,10.6,3
Chloroclysta miata,Autumn Green Carpet,Geometridae,LC,15.0,17.0,11.5,3
Dysstroma truncata,Common Marbled Carpet / Arran Carpet,Geometridae,LC,14.0,19.0,12.4,13
Dysstroma citrata,Dark Marbled Carpet,Geometridae,LC,14.0,19.0,12.4,12
Colostygia olivata,Beech-green Carpet,Geometridae,EN,13.0,15.0,8.1,10
Colostygia pectinataria,Green Carpet,Geometridae,LC,12.0,15.0,7.4,13
Colostygia multistrigaria,Mottled Grey,Geometridae,LC,13.0,17.0,9.7,2
Coenotephria salicata,Striped Twin-spot Carpet,Geometridae,LC,12.0,15.0,7.4,3
Lampropteryx suffumata,Water Carpet,Geometridae,LC,14.0,17.0,10.6,2
Lampropteryx otregiata,Devon Carpet,Geometridae,LC,12.0,14.0,6.7,4
Operophtera fagata,Northern Winter Moth,Geometridae,LC,14.0,18.0,11.5,3
Operophtera brumata,Winter Moth,Geometridae,LC,13.0,16.0,8.9,3
Epirrita dilutata,November Moth,Geometridae,LC,15.0,20.0,14.4,3
Epirrita christyi,Pale November Moth,Geometridae,LC,15.0,20.0,14.4,3
Epirrita autumnata,Autumnal Moth,Geometridae,LC,16.0,20.0,15.5,3
Epirrita filigrammaria,Small Autumnal Moth,Geometridae,VU,14.0,18.0,11.5,2
Asthena albulata,Small White Wave,Geometridae,LC,9.0,11.0,3.4,3
Euchoeca nebulata,Dingy Shell,Geometridae,LC,9.0,12.0,3.9,4
Hydrelia sylvata,Waved Carpet,Geometridae,LC,11.0,13.0,5.5,3
Hydrelia flammeolaria,Small Yellow Wave,Geometridae,LC,9.0,11.0,3.4,3
Venusia cambrica,Welsh Wave,Geometridae,LC,13.0,15.0,8.1,4
Venusia blomeri,Blomer's Rivulet,Geometridae,LC,10.0,13.0,4.9,3
Minoa murinata,Drab Looper,Geometridae,LC,9.0,11.0,3.4,4
Philereme vetulata,Brown Scallop,Geometridae,LC,13.0,16.0,8.9,3
Philereme transversata,Dark Umber,Geometridae,LC,17.0,20.0,16.6,3
Rheumaptera hastata,Argent and Sable,Geometridae,VU,13.0,19.0,14.4,4
Hydria undulata,Scallop Shell,Geometridae,LC,16.0,19.0,14.4,3
Hydria cervinalis,Scarce Tissue,Geometridae,LC,19.0,22.0,21.6,2
Triphosa dubitata,Tissue,Geometridae,NT,19.0,22.0,21.6,3
Pareulype berberata,Barberry Carpet,Geometridae,RE,13.0,15.0,8.1,5
Coenocalpe lapidata,Slender-striped Rufous,Geometridae,RE,13.0,16.0,8.9,5
Horisme vitalbata,Small Waved Umber,Geometridae,LC,14.0,17.0,10.6,5
Horisme tersata,Fern,Geometridae,LC,14.0,18.0,11.5,4
Horisme radicaria,Cryptic Fern,Geometridae,LC,,,,0
Melanthia procellata,Pretty Chalk Carpet,Geometridae,LC,16.0,18.0,13.4,3
Anticollix sparsata,Dentated Pug,Geometridae,LC,11.0,13.0,5.5,3
Odezia atrata,Chimney Sweeper,Geometridae,VU,12.0,15.0,7.4,4
Mesotype didymata,Twin-spot Carpet,Geometridae,LC,11.0,15.0,6.7,4
Perizoma affinitata,Rivulet,Geometridae,LC,12.0,15.0,7.4,3
Perizoma alchemillata,Small Rivulet,Geometridae,LC,9.0,11.0,3.4,3
Perizoma bifaciata,Barred Rivulet,Geometridae,LC,9.0,11.0,3.4,4
Perizoma minorata,Heath Rivulet,Geometridae,VU,8.0,10.0,2.6,3
Perizoma blandiata,Pretty Pinion,Geometridae,LC,9.0,11.0,3.4,3
Perizoma albulata,Grass Rivulet,Geometridae,LC,10.0,12.0,4.4,3
Perizoma flavofasciata,Sandy Carpet,Geometridae,NT,11.0,14.0,6.1,3
Martania taeniata,Barred Carpet,Geometridae,LC,11.0,12.0,4.9,10
Gagitodes sagittata,Marsh Carpet,Geometridae,NT,13.0,17.0,9.7,2
Gymnoscelis rufifasciata,Double-striped Pug,Geometridae,LC,8.0,10.0,2.6,7
Chloroclystis v-ata,V-Pug,Geometridae,LC,8.0,11.0,3.0,6
Pasiphila chloerata,Sloe Pug,Geometridae,LC,9.0,10.0,3.0,3
Pasiphila rectangulata,Green Pug,Geometridae,LC,8.0,11.0,3.0,4
Pasiphila debiliata,Bilberry Pug,Geometridae,LC,9.0,11.0,3.4,3
Eupithecia haworthiata,Haworth's Pug,Geometridae,LC,8.0,9.0,2.3,2
Eupithecia tenuiata,Slender Pug,Geometridae,LC,8.0,10.0,2.6,3
Eupithecia inturbata,Maple Pug,Geometridae,EN,8.0,10.0,2.6,2
Eupithecia abietaria,Cloaked Pug,Geometridae,LC,11.0,15.0,6.7,3
Eupithecia linariata,Toadflax Pug,Geometridae,NT,9.0,10.0,3.0,3
Eupithecia pulchellata,Foxglove Pug,Geometridae,LC,10.0,12.0,4.4,3
Eupithecia ultimaria,Channel Islands Pug,Geometridae,LC,7.0,10.0,2.3,3
Eupithecia plumbeolata,Lead-coloured Pug,Geometridae,LC,9.0,10.0,3.0,3
Eupithecia pygmaeata,Marsh Pug,Geometridae,VU,8.0,9.0,2.3,2
Eupithecia venosata,Netted Pug,Geometridae,LC,10.0,14.0,5.5,2
Eupithecia abbreviata,Brindled Pug,Geometridae,LC,10.0,12.0,4.4,3
Eupithecia dodoneata,Oak-tree Pug,Geometridae,LC,8.0,11.0,3.0,3
Eupithecia pusillata,Juniper Pug,Geometridae,VU,9.0,11.0,3.4,5
Eupithecia phoeniceata,Cypress Pug,Geometridae,LC,10.0,11.0,3.9,9
Eupithecia tripunctaria,White-spotted Pug,Geometridae,NT,10.0,12.0,4.4,4
Eupithecia virgaureata,Golden-rod Pug,Geometridae,LC,10.0,11.0,3.9,3
Eupithecia tantillaria,Dwarf Pug,Geometridae,LC,9.0,11.0,3.4,3
Eupithecia lariciata,Larch Pug,Geometridae,NT,10.0,12.0,4.4,4
Eupithecia egenaria,Fletcher's Pug or Pauper Pug,Geometridae,LC,11.0,13.0,5.5,2
Eupithecia pimpinellata,Pimpinel Pug,Geometridae,LC,11.0,12.0,4.9,5
Eupithecia simpliciata,Plain Pug,Geometridae,VU,11.0,13.0,5.5,3
Eupithecia sinuosaria,Goosefoot Pug,Geometridae,LC,10.0,12.0,4.4,0
Eupithecia nanata,Narrow-winged Pug,Geometridae,LC,9.0,12.0,3.9,4
Eupithecia innotata,Angle-barred Pug / Ash Pug / Tamarisk Pug,Geometridae,LC,10.0,12.0,4.4,5
Eupithecia irriguata,Marbled Pug,Geometridae,LC,9.0,11.0,3.4,3
Eupithecia indigata,Ochreous Pug,Geometridae,LC,8.0,10.0,2.6,4
Eupithecia distinctaria,Thyme Pug,Geometridae,LC,8.0,10.0,2.6,3
Eupithecia centaureata,Lime-speck Pug,Geometridae,LC,10.0,12.0,4.4,7
